lag,autocorr
0,1.00000
1,0.91797
2,0.83594
3,0.75391
4,0.67188
5,0.58985
6,0.50782
7,0.42579
8,0.34375
9,0.26172
10,0.17969
11,0.09766
12,0.01563
13,-0.06641
14,-0.14844
15,-0.23047
16,-0.31250
17,-0.39454
18,-0.47657
19,-0.55860
20,-0.64063
21,-0.72266
22,-0.80469
23,-0.88672
24,-0.96875
25,-0.88932
26,-0.80990
27,-0.73047
28,-0.65105
29,-0.57162
30,-0.49219
31,-0.41276
32,-0.33334
33,-0.25391
34,-0.17448
35,-0.09505
36,-0.01563
37,0.06380
38,0.14323
39,0.22266
40,0.30209
41,0.38151
42,0.46094
43,0.54037
44,0.61980
45,0.69922
46,0.77865
47,0.85808
48,0.93750
49,0.86068
50,0.78386
51,0.70704
52,0.63021
53,0.55339
54,0.47657
55,0.39974
56,0.32292
57,0.24610
58,0.16927
59,0.09245
60,0.01563
61,-0.06120
62,-0.13802
63,-0.21485
64,-0.29167
65,-0.36849
66,-0.44532
67,-0.52214
68,-0.59896
69,-0.67579
70,-0.75261
71,-0.82943
72,-0.90625
73,-0.83203
74,-0.75782
75,-0.68360
76,-0.60938
77,-0.53516
78,-0.46094
79,-0.38672
80,-0.31250
81,-0.23828
82,-0.16406
83,-0.08984
84,-0.01563
85,0.05859
86,0.13281
87,0.20703
88,0.28125
89,0.35547
90,0.42969
91,0.50391
92,0.57813
93,0.65235
94,0.72657
95,0.80079
96,0.87500
97,0.80339
98,0.73178
99,0.66016
100,0.58855
101,0.51693
102,0.44532
103,0.37370
104,0.30209
105,0.23047
106,0.15886
107,0.08724
108,0.01563
109,-0.05599
110,-0.12761
111,-0.19922
112,-0.27084
113,-0.34245
114,-0.41407
115,-0.48568
116,-0.55730
117,-0.62891
118,-0.70053
119,-0.77214
120,-0.84375
121,-0.77474
122,-0.70573
123,-0.63673
124,-0.56771
125,-0.49870
126,-0.42969
127,-0.36068
128,-0.29167
129,-0.22266
130,-0.15365
131,-0.08464
132,-0.01563
133,0.05339
134,0.12240
135,0.19141
136,0.26042
137,0.32943
138,0.39844
139,0.46745
140,0.53646
141,0.60548
142,0.67449
143,0.74349
144,0.81250
145,0.74610
146,0.67969
147,0.61329
148,0.54688
149,0.48047
150,0.41407
151,0.34766
152,0.28125
153,0.21485
154,0.14844
