lag,whitened_autocorr
0,0.968804
1,0.005480
2,0.002401
3,0.002037
4,0.001642
5,0.000231
6,-0.000415
7,0.000013
8,-0.000847
9,-0.000222
10,-0.000265
11,-0.000172
12,-0.000709
13,-0.000579
14,0.000359
15,-0.000248
16,-0.000007
17,-0.000119
18,-0.000549
19,-0.000366
20,-0.000520
21,-0.000226
22,-0.000434
23,-0.000021
24,-0.000405
25,-0.000151
26,-0.000336
27,-0.000406
28,0.000162
29,-0.000079
30,-0.000178
31,0.000294
32,-0.000328
33,-0.000603
34,-0.000422
35,-0.000244
36,-0.000336
37,-0.000504
38,-0.000005
39,0.000584
40,-0.000353
41,-0.000183
42,-0.000005
43,0.000579
44,0.000286
45,-0.000406
46,0.000146
47,-0.000072
48,0.000035
49,-0.000356
50,-0.000443
51,-0.001019
52,-0.000514
53,-0.000628
54,-0.000719
55,-0.000345
56,-0.000553
57,-0.000419
58,0.000074
59,0.000223
60,0.000505
61,-0.000701
62,0.000405
63,-0.000821
64,-0.000273
65,-0.000055
66,0.000641
67,0.000720
68,0.001048
69,-0.000750
70,0.000198
71,-0.000009
72,-0.000531
73,0.000535
74,0.000729
75,-0.000679
76,0.000335
77,0.000598
78,-0.000387
79,0.000051
80,0.000729
81,0.000987
82,-0.000266
83,0.000353
84,0.001692
85,0.000793
86,0.001815
87,0.000181
88,-0.000579
89,-0.000941
90,0.000680
91,-0.000549
92,-0.000478
93,-0.000832
94,0.000249
95,0.000620
96,0.000456
97,-0.001212
98,0.000147
99,-0.000772
100,-0.001007
101,0.000391
102,-0.000676
103,-0.000244
104,0.000422
105,0.000116
106,-0.000695
107,-0.000801
108,-0.000003
109,-0.000461
110,0.001233
111,0.001369
112,-0.000264
113,-0.000027
114,0.001553
115,0.000309
116,0.000950
117,0.001221
118,-0.000123
119,0.001257
120,0.000092
121,-0.000357
122,0.000201
123,0.000652
124,0.000971
125,-0.000881
126,0.000458
127,-0.001120
128,0.002218
129,-0.000722
130,0.002123
131,0.000471
132,0.001587
133,0.003171
134,-0.001104
135,0.002452
136,0.000697
137,0.000071
138,-0.000001
139,0.000685
140,0.002154
141,-0.001102
142,0.001698
143,0.001421
144,0.000746
145,-0.000009
146,0.000143
147,0.001866
148,-0.000557
149,-0.000899
150,0.000992
151,-0.000840
152,0.002497
153,0.003458
154,0.002204
155,-0.001001
156,-0.000881
157,-0.000926
158,0.003446
159,0.002585
160,0.000146
161,0.001017
162,-0.000714
163,-0.000943
164,-0.002082
165,0.000927
166,0.000497
167,-0.000408
168,0.001342
169,-0.000042
170,0.000453
171,0.002679
172,0.001463
173,-0.000712
174,-0.001453
175,0.000271
176,0.000094
177,-0.000579
178,0.001503
179,0.001733
180,0.000681
181,0.001303
182,0.000500
183,0.002032
184,0.000953
185,-0.000397
186,-0.001709
187,0.002450
188,0.001720
189,0.001439
190,0.003370
191,0.000229
192,-0.000796
193,-0.000002
194,0.002681
195,0.000227
196,-0.000142
197,-0.000184
198,0.000907
199,-0.000610
200,-0.000464
201,-0.000959
202,-0.000376
203,0.000478
204,0.000052
205,-0.000874
206,0.001514
207,0.001245
208,-0.000157
209,0.001219
210,-0.000487
211,-0.000877
212,0.003597
213,-0.000169
214,0.000605
215,-0.000878
216,0.001093
217,-0.000806
218,0.001302
219,-0.000172
220,0.002613
221,-0.001055
222,-0.001857
223,0.001314
224,0.000936
225,0.001707
226,0.002334
227,-0.000475
228,-0.000983
229,0.000960
230,-0.000553
231,-0.001005
232,0.002105
233,0.001255
234,0.000387
235,0.002723
236,0.001056
237,0.000200
238,-0.001277
239,-0.000221
240,0.001010
241,-0.000683
242,0.001354
243,-0.000465
244,-0.000159
245,-0.000138
246,-0.000977
247,-0.001033
248,-0.000653
249,-0.001161
250,0.001503
251,0.000198
252,0.008679
253,0.012339
254,0.005311
255,0.036252
256,0.084611
257,0.034033
258,0.005746
259,0.012589
260,0.006301
261,0.000887
262,0.002089
263,-0.002012
264,-0.001009
265,-0.001026
266,-0.000461
267,0.000857
268,-0.000383
269,0.000074
270,0.000428
271,0.000617
272,0.000885
273,-0.000422
274,0.000484
275,-0.000003
276,0.000051
277,-0.000127
278,-0.000090
279,-0.000883
280,0.000995
281,0.000169
282,-0.000536
283,0.000930
284,-0.000192
285,0.000358
286,-0.000449
287,-0.001120
288,0.001305
289,0.000041
290,0.000745
291,-0.000377
292,-0.000145
293,0.000494
294,0.000175
295,0.000494
296,0.000203
297,0.000726
298,0.000341
299,0.001876
300,0.000222
301,0.000958
302,-0.000525
303,0.001025
304,0.000789
305,0.000318
306,0.000294
307,0.000337
308,-0.000200
309,-0.000174
310,-0.000361
311,-0.000648
312,-0.000520
313,-0.000472
314,-0.000594
315,-0.000561
316,-0.000205
317,-0.000202
318,0.000001
319,-0.000334
320,-0.000490
321,-0.000269
322,0.001248
323,0.000441
324,0.001169
325,-0.000044
326,0.000688
327,0.000685
328,0.001081
329,0.000091
330,0.000570
331,-0.000097
332,0.000519
333,0.000712
334,0.000433
335,0.000825
336,0.000035
337,0.000631
338,-0.000153
339,-0.000045
340,0.000687
341,0.000097
342,0.000742
343,0.000761
344,0.000267
345,0.000157
346,0.001032
347,0.000276
348,-0.000101
349,-0.000309
350,-0.000154
351,0.000234
352,0.000178
353,0.000069
354,0.000155
355,0.000345
356,0.000262
357,-0.000008
358,0.000070
359,0.000497
360,0.000863
361,0.000447
362,0.000404
363,-0.000295
364,-0.000065
365,0.000457
366,-0.000235
367,-0.000058
368,-0.000188
369,0.000329
370,-0.000321
371,-0.000299
372,-0.000031
373,0.000611
374,-0.000032
375,-0.000141
376,0.000390
377,-0.000114
378,0.000155
379,-0.000001
380,0.000068
381,-0.000023
382,-0.000644
383,-0.000121
384,0.000748
385,-0.000594
386,0.000185
387,-0.000103
388,0.000928
389,0.000527
390,0.000748
391,0.000535
392,0.000120
393,0.000069
394,0.000332
395,0.000232
396,0.000514
397,0.000017
398,0.000436
399,0.000248
400,-0.000151
401,0.000036
402,0.000709
403,-0.000564
404,-0.000207
405,0.000160
406,-0.000243
407,-0.000163
408,-0.000385
409,0.000592
410,-0.000023
411,0.000243
412,0.000318
413,0.000165
414,0.000085
415,0.000514
416,0.000240
417,0.000007
418,0.000155
419,-0.000073
420,-0.000509
421,0.000250
422,0.000404
423,0.000041
424,0.000164
425,0.000299
426,0.000252
427,-0.000313
428,0.001082
429,-0.000118
430,-0.000156
431,-0.000094
432,0.000077
433,0.000489
434,0.000123
435,-0.000337
436,0.000603
437,0.000150
438,0.000447
439,0.000231
440,0.000429
441,-0.000077
442,0.000034
443,0.000347
444,0.000712
445,0.000228
446,0.000157
447,-0.000123
448,-0.000108
449,-0.000133
450,0.000311
451,0.000184
452,-0.000178
453,-0.000131
454,0.000219
455,-0.000201
456,0.000547
457,0.000354
458,-0.000076
459,-0.000200
460,-0.000388
461,-0.000142
462,0.000024
463,-0.000025
464,0.000280
465,0.000671
466,0.000060
467,0.001032
468,0.001450
469,-0.000217
470,-0.000190
471,-0.000611
472,-0.000175
473,-0.000214
474,0.000365
475,-0.000191
476,0.000599
477,-0.000415
478,-0.000095
479,0.000300
480,0.000219
481,0.000152
482,0.000613
483,0.000329
484,0.000446
485,0.000086
486,0.000055
487,0.000214
488,-0.000278
489,-0.000380
490,-0.000126
491,0.000181
492,-0.000153
493,0.000115
494,0.000002
495,0.000114
496,-0.000154
497,-0.000057
498,0.000038
499,-0.000018
500,-0.000054
501,-0.000186
502,0.000452
503,0.000429
504,0.000533
505,-0.000201
506,0.000267
507,0.000986
508,0.001752
509,0.003781
510,0.002393
511,0.008836
512,0.024000
513,0.008457
514,0.002036
515,0.003655
516,0.001373
517,0.000573
518,0.000437
519,0.000132
520,-0.000170
521,-0.000077
522,-0.000070
523,0.000311
524,-0.000088
525,0.000277
526,0.000039
527,0.000128
528,0.000678
529,0.000625
530,0.000380
531,0.000532
532,0.000178
533,0.000552
534,0.000046
535,-0.000155
536,0.000712
537,0.000093
538,0.000016
539,-0.000099
540,0.000472
541,0.000444
542,0.000525
543,0.000308
544,-0.000172
545,-0.000063
546,0.000113
547,-0.000168
548,-0.000147
549,0.000052
550,0.000556
551,0.000195
552,0.000368
553,0.000362
554,-0.000025
555,0.000097
556,-0.000129
557,-0.000123
558,0.000243
559,0.000242
560,0.000020
561,0.000447
562,-0.000033
563,-0.000074
564,-0.000230
565,-0.000104
566,-0.000162
567,-0.000163
568,0.000011
569,0.000126
570,-0.000070
571,-0.000196
572,0.000151
573,0.000504
574,0.000160
575,0.000060
576,-0.000218
577,-0.000045
578,-0.000039
579,0.000003
580,0.000075
581,-0.000122
582,-0.000138
583,0.000033
584,0.000043
585,0.000006
586,0.000136
587,-0.000119
588,0.000131
589,0.000072
590,0.000316
591,0.000307
592,0.000532
593,-0.000077
594,-0.000155
595,-0.000159
596,-0.000051
597,-0.000104
598,-0.000036
599,0.000071
600,0.000121
601,0.000080
602,-0.000107
603,-0.000036
604,0.000340
605,0.000203
606,0.000084
607,0.000165
608,0.000100
609,0.000226
610,0.000074
611,-0.000105
612,0.000017
613,-0.000109
614,-0.000022
615,0.000025
616,0.000121
617,0.000068
618,-0.000036
619,-0.000046
620,0.000014
621,-0.000082
622,-0.000122
623,0.000022
624,-0.000109
625,-0.000060
626,-0.000016
627,0.000034
628,-0.000046
629,-0.000153
630,-0.000014
631,-0.000049
632,-0.000048
633,-0.000034
634,-0.000043
635,-0.000071
636,0.000007
637,-0.000024
638,-0.000100
639,-0.000078
640,0.000058
641,0.000053
642,0.000163
643,0.000179
644,-0.000013
645,-0.000055
646,-0.000019
647,-0.000026
648,-0.000041
649,-0.000011
650,0.000012
651,0.000015
652,-0.000018
653,-0.000095
654,-0.000014
655,-0.000021
656,-0.000099
657,-0.000044
658,0.000087
659,0.000082
660,0.000011
661,-0.000033
662,-0.000074
663,-0.000055
664,-0.000013
665,0.000048
666,0.000012
667,-0.000045
668,-0.000042
669,-0.000069
670,-0.000032
671,-0.000010
672,-0.000067
673,0.000010
674,0.000129
675,0.000057
676,-0.000053
677,0.000007
678,0.000036
679,0.000018
680,0.000106
681,0.000013
682,-0.000011
683,0.000002
684,-0.000016
685,0.000059
686,-0.000036
687,-0.000008
688,0.000082
689,0.000163
690,0.000027
691,-0.000036
692,0.000037
693,0.000050
694,0.000123
695,0.000011
696,-0.000005
697,-0.000033
698,0.000078
699,0.000038
700,0.000002
701,0.000005
702,0.000012
703,-0.000045
704,-0.000110
705,-0.000023
706,0.000031
707,-0.000051
708,-0.000103
709,-0.000086
710,-0.000086
711,-0.000084
712,-0.000049
713,0.000122
714,-0.000015
715,-0.000084
716,-0.000041
717,-0.000071
718,0.000019
719,-0.000029
720,-0.000003
721,0.000080
722,-0.000014
723,0.000014
724,0.000080
725,-0.000065
726,-0.000064
727,-0.000092
728,-0.000075
729,-0.000050
730,-0.000067
731,-0.000082
732,-0.000066
733,-0.000072
734,-0.000067
735,0.000005
736,0.000059
737,0.000050
738,0.000001
739,-0.000062
740,-0.000072
741,-0.000073
742,-0.000048
743,-0.000005
744,0.000001
745,-0.000047
746,0.000047
747,0.000015
748,0.000008
749,-0.000036
750,0.000043
751,0.000055
752,0.000081
753,0.000066
754,0.000021
755,-0.000041
756,-0.000047
757,-0.000057
758,-0.000071
759,-0.000063
760,-0.000063
761,-0.000089
762,-0.000017
763,0.000017
764,0.000248
765,0.000276
766,0.000151
767,0.000661
768,0.001894
769,0.000627
770,0.000130
771,0.000258
772,0.000201
773,-0.000008
774,-0.000006
775,-0.000048
776,-0.000063
777,-0.000058
778,-0.000057
779,-0.000039
780,-0.000040
781,-0.000018
782,-0.000024
783,0.000031
784,0.000056
785,0.000004
786,-0.000008
787,-0.000032
788,-0.000039
789,-0.000032
790,-0.000033
791,-0.000058
792,0.000012
793,-0.000011
794,-0.000036
795,-0.000031
796,-0.000005
797,0.000033
798,0.000039
799,0.000013
800,-0.000044
801,-0.000054
802,-0.000019
803,-0.000033
804,-0.000038
805,0.000008
806,0.000041
807,0.000002
808,-0.000015
809,0.000014
810,0.000024
811,0.000033
812,-0.000009
813,-0.000013
814,0.000052
815,0.000027
816,-0.000030
817,0.000024
818,-0.000017
819,-0.000044
820,-0.000030
821,-0.000028
822,-0.000048
823,-0.000053
824,-0.000031
825,0.000003
826,-0.000008
827,-0.000047
828,-0.000048
829,-0.000044
830,-0.000049
831,-0.000052
832,-0.000066
833,-0.000048
834,-0.000015
835,-0.000003
836,-0.000004
837,-0.000028
838,-0.000014
839,-0.000026
840,-0.000033
841,-0.000029
842,-0.000047
843,-0.000038
844,-0.000025
845,-0.000028
846,-0.000023
847,-0.000020
848,-0.000002
849,-0.000029
850,-0.000034
851,-0.000026
852,-0.000038
853,-0.000041
854,-0.000023
855,-0.000031
856,-0.000024
857,-0.000019
858,-0.000017
859,-0.000023
860,0.000007
861,0.000010
862,-0.000006
863,-0.000009
864,-0.000008
865,-0.000010
866,-0.000013
867,-0.000019
868,-0.000017
869,-0.000009
870,-0.000031
871,-0.000032
872,-0.000037
873,-0.000039
874,-0.000029
875,-0.000013
876,-0.000007
877,-0.000026
878,-0.000040
879,-0.000037
880,-0.000018
881,-0.000033
882,-0.000038
883,-0.000031
884,-0.000022
885,-0.000026
886,-0.000029
887,-0.000019
888,-0.000011
889,-0.000029
890,-0.000042
891,-0.000028
892,-0.000026
893,-0.000034
894,-0.000038
895,-0.000032
896,-0.000024
897,-0.000038
898,-0.000035
899,-0.000015
900,-0.000024
901,-0.000027
902,-0.000036
903,-0.000036
904,-0.000027
905,-0.000026
906,-0.000031
907,-0.000025
908,-0.000033
909,-0.000030
910,-0.000019
911,-0.000024
912,-0.000032
913,-0.000032
914,-0.000022
915,-0.000015
916,-0.000020
917,-0.000027
918,-0.000029
919,-0.000032
920,-0.000028
921,-0.000035
922,-0.000032
923,-0.000023
924,-0.000024
925,-0.000018
926,-0.000026
927,-0.000019
928,-0.000016
929,-0.000022
930,-0.000020
931,-0.000014
932,-0.000015
933,-0.000016
