bit,expected_sign,marked_corr,unmarked_corr
0,-1,-0.40696,-0.02858
1,1,0.79720,-0.01197
2,1,0.57226,-0.05119
3,1,0.70710,0.03173
4,1,0.57419,-0.08598
5,-1,-0.27901,0.08474
6,1,0.83012,0.11591
7,1,0.22620,-0.12478
8,1,0.42110,0.02500
9,-1,-0.72304,-0.07725
10,1,0.47671,-0.04048
11,1,0.70706,-0.00677
12,-1,-0.63753,0.09798
13,1,0.63625,-0.08250
14,-1,-0.57185,0.10751
15,1,0.49533,0.05660
16,-1,-0.57320,0.04273
17,1,0.66163,0.08783
18,1,0.42613,-0.06163
19,1,0.49894,-0.07438
20,1,0.68618,-0.00277
21,1,0.47592,-0.01709
22,-1,-0.32983,0.04261
23,1,0.43579,0.02767
24,1,0.38153,-0.07981
25,1,0.52016,-0.05044
26,1,0.78500,-0.10784
27,1,0.63957,0.08955
28,-1,-0.57848,0.00568
29,1,0.55905,-0.05012
30,1,0.49670,0.07021
31,1,0.65589,0.03630
32,-1,-0.62063,0.01299
33,1,0.80765,0.01281
34,-1,-0.79533,-0.01822
35,1,0.43980,-0.06901
36,-1,-0.46085,-0.09409
37,-1,-0.56244,0.13833
38,1,0.46328,0.01490
39,1,0.77277,0.03766
40,-1,-0.61101,-0.11839
41,1,0.70963,0.05566
42,1,0.39494,-0.21042
43,1,0.77077,0.05137
44,1,0.65075,0.04544
45,1,0.31924,-0.05300
46,1,0.33225,-0.03557
47,1,0.50275,-0.01287
48,-1,-0.64085,-0.00209
49,1,0.49827,-0.02964
50,-1,-0.45392,-0.02693
51,1,0.63148,-0.02225
52,1,0.67586,0.07541
53,1,0.38930,-0.05406
54,-1,-0.33515,0.13414
55,1,0.51335,-0.09181
56,-1,-0.41232,0.03546
57,1,0.74071,-0.06268
58,1,0.62752,0.04937
59,1,0.43082,0.00394
60,1,0.55197,0.05369
61,1,0.90701,0.07408
62,-1,-0.50983,0.22453
63,1,0.50665,-0.03647
64,1,0.53969,-0.02736
65,-1,-0.62024,0.06372
66,-1,-0.87317,0.02674
67,-1,-0.62491,-0.12431
68,-1,-0.67525,0.00137
69,-1,-0.67972,-0.08318
70,-1,-0.63289,0.00187
71,-1,-0.44422,0.00203
72,1,0.70817,-0.01276
73,1,0.46588,-0.13135
74,-1,-0.33654,0.08594
75,-1,-0.53939,0.07223
76,-1,-0.50109,0.00677
77,1,0.57795,-0.02892
78,-1,-0.67032,0.11729
79,-1,-0.51907,0.12552
80,1,0.54300,-0.06681
81,-1,-0.78516,0.06907
82,1,0.58553,0.02116
83,-1,-0.44428,0.02954
84,-1,-0.51265,-0.07158
85,-1,-0.62593,-0.14031
86,1,0.54693,-0.09368
87,-1,-0.71963,-0.06732
88,1,0.89790,-0.04818
89,1,0.60437,-0.03271
90,1,0.57208,0.03327
91,-1,-0.33529,0.03243
92,-1,-0.69483,0.03138
93,1,0.58397,0.09960
94,1,0.73182,-0.00976
95,-1,-0.37017,-0.01057
96,1,0.84569,0.10328
97,-1,-0.66910,0.00576
98,-1,-0.53365,0.04528
99,1,0.65740,0.02262
100,-1,-0.43983,-0.04730
101,-1,-0.70641,0.00032
102,-1,-0.73482,-0.11497
103,1,0.62465,-0.04149
104,1,0.60449,0.02916
105,1,0.58336,0.01129
106,-1,-0.44469,0.05445
107,1,0.74400,0.00685
108,-1,-0.72038,-0.02339
109,1,0.26802,-0.04644
110,-1,-0.80821,0.03515
111,1,0.81418,-0.00944
112,1,0.63158,0.00579
113,-1,-0.35043,-0.00084
114,1,0.52466,-0.04652
115,1,0.55016,-0.02781
116,-1,-0.58012,0.05154
117,-1,-0.78113,-0.06388
118,1,0.55284,-0.04618
119,1,0.53653,-0.08724
120,1,0.41916,0.01424
121,1,0.44237,-0.08189
122,1,0.61503,0.02787
123,1,0.77016,0.09655
124,-1,-0.47895,-0.02827
125,1,0.44091,-0.00772
126,1,0.88939,0.05927
127,1,0.55417,0.00870
128,-1,-0.61956,-0.00082
129,1,0.79784,-0.00580
