lag,pn_agreement,stripe_agreement
0,1.00000,1.00000
1,-0.04191,0.75195
2,-0.02053,0.50391
3,0.04801,0.25586
4,-0.03202,0.00781
5,0.04031,-0.24023
6,-0.05561,-0.48828
7,-0.02237,-0.73633
8,0.01489,-0.98438
9,-0.01444,-0.74023
10,0.03823,-0.49609
11,-0.01053,-0.25195
12,0.00328,-0.00781
13,-0.02984,0.23633
14,0.10506,0.48047
15,-0.01029,0.72461
16,-0.01616,0.96875
17,-0.00235,0.72852
18,-0.02386,0.48828
19,0.01719,0.24805
20,-0.01213,0.00781
21,0.04456,-0.23242
22,-0.01984,-0.47266
23,0.00558,-0.71289
24,-0.13323,-0.95312
25,-0.03365,-0.71680
26,0.03086,-0.48047
27,-0.00628,-0.24414
28,0.01913,-0.00781
29,0.02512,0.22852
30,0.01522,0.46484
31,0.05248,0.70117
32,-0.01998,0.93750
33,-0.05309,0.70508
34,-0.03953,0.47266
35,0.05223,0.24023
36,-0.04748,0.00781
37,0.04050,-0.22461
38,-0.04736,-0.45703
39,-0.04162,-0.68945
40,0.02290,-0.92188
41,0.03267,-0.69336
42,-0.00045,-0.46484
43,0.00554,-0.23633
44,-0.02782,-0.00781
45,0.00541,0.22070
46,-0.01231,0.44922
47,-0.08477,0.67773
48,0.01506,0.90625
49,0.06015,0.68164
50,-0.06302,0.45703
51,0.00149,0.23242
52,-0.01598,0.00781
53,0.03668,-0.21680
54,0.04266,-0.44141
55,-0.04923,-0.66602
56,0.01908,-0.89062
57,-0.05314,-0.66992
58,0.05830,-0.44922
59,-0.00231,-0.22852
60,-0.03543,-0.00781
61,-0.00219,0.21289
62,-0.01185,0.43359
63,-0.03714,0.65430
64,-0.03922,0.87500
65,-0.06073,0.65820
66,0.02724,0.44141
67,-0.03740,0.22461
68,0.00366,0.00781
69,-0.01382,-0.20898
70,0.07037,-0.42578
71,-0.05280,-0.64258
72,0.05082,-0.85938
73,0.06059,-0.64648
74,0.00780,-0.43359
75,0.06046,-0.22070
76,-0.02361,-0.00781
77,-0.01383,0.20508
78,0.03883,0.41797
79,0.04078,0.63086
80,0.02710,0.84375
81,-0.02972,0.63477
82,0.00754,0.42578
83,0.02917,0.21680
84,0.02330,0.00781
85,0.02525,-0.20117
86,0.01939,-0.41016
87,0.00191,-0.61914
88,0.01950,-0.82812
89,0.01767,-0.62305
90,-0.08986,-0.41797
91,0.00997,-0.21289
92,-0.01533,-0.00781
93,0.02169,0.19727
94,0.02744,0.40234
95,-0.00189,0.60742
96,-0.00373,0.81250
97,-0.00556,0.61133
98,-0.07020,0.41016
99,-0.02512,0.20898
100,-0.07008,0.00781
101,0.02571,-0.19336
102,0.03548,-0.39453
103,0.02180,-0.59570
104,-0.02317,-0.79688
105,0.02570,-0.59961
106,-0.02305,-0.40234
107,-0.01731,-0.20508
108,-0.00351,-0.00781
109,-0.05226,0.18945
110,0.02789,0.38672
111,-0.00925,0.58398
112,-0.01133,0.78125
113,-0.01341,0.58789
114,-0.05056,0.39453
115,0.02556,0.20117
116,0.05098,0.00781
117,-0.09187,-0.18555
118,-0.01171,-0.37891
119,0.00588,-0.57227
120,-0.05876,-0.76562
121,0.00576,-0.57617
122,0.02335,-0.38672
123,0.00966,-0.19727
124,-0.00402,-0.00781
125,0.00575,0.18164
126,0.01931,0.37109
127,-0.03751,0.56055
128,-0.00049,0.75000
129,-0.02200,0.56445
130,-0.00440,0.37891
131,-0.00624,0.19336
132,0.05449,0.00781
133,-0.02579,-0.17773
134,-0.00820,-0.36328
135,-0.01028,-0.54883
136,0.05802,-0.73438
137,-0.00258,-0.55273
138,-0.00466,-0.37109
139,-0.00271,-0.18945
140,0.00706,-0.00781
141,-0.01066,0.17383
142,0.01073,0.35547
143,-0.05367,0.53711
144,0.01488,0.71875
145,-0.00260,0.54102
146,0.01878,0.36328
147,-0.00272,0.18555
148,0.01487,0.00781
149,-0.04574,-0.16992
150,0.01474,-0.34766
151,-0.01055,-0.52539
152,-0.00860,-0.70312
153,0.04406,-0.52930
154,0.00692,-0.35547
155,0.01669,-0.18164
156,-0.05174,-0.00781
157,-0.03011,0.16602
158,0.03440,0.33984
159,0.00911,0.51367
160,-0.01643,0.68750
161,0.00898,0.51758
162,-0.00068,0.34766
163,-0.00275,0.17773
164,0.07337,0.00781
165,-0.04980,-0.16211
166,0.00286,-0.33203
167,0.08705,-0.50195
168,-0.04015,-0.67188
169,0.02815,-0.50586
170,-0.02843,-0.33984
171,0.02045,-0.17383
172,-0.03234,-0.00781
173,-0.03418,0.15820
174,0.05001,0.32422
175,-0.07695,0.49023
176,0.00700,0.65625
177,-0.01830,0.49414
178,-0.00071,0.33203
179,0.02471,0.16992
180,0.01505,0.00781
181,0.07957,-0.15430
182,-0.03578,-0.31641
183,-0.04165,-0.47852
184,0.03472,-0.64062
185,0.00160,-0.48242
186,-0.03555,-0.32422
187,-0.04923,-0.16602
188,0.02713,-0.00781
189,0.04473,0.15039
190,0.00758,0.30859
191,0.00953,0.46680
192,-0.07454,0.62500
193,0.00183,0.47070
194,-0.00025,0.31641
195,0.05645,0.16211
196,0.03494,0.00781
197,-0.00624,-0.14648
198,0.00353,-0.30078
199,0.08747,-0.45508
200,-0.02005,-0.60938
201,-0.03374,-0.45898
202,-0.00430,-0.30859
203,-0.05708,-0.15820
204,-0.00442,-0.00781
205,0.00914,0.14258
206,-0.00076,0.29297
207,0.02869,0.44336
208,-0.02410,0.59375
209,0.06008,0.44727
210,-0.00834,0.30078
211,-0.01421,0.15430
212,-0.00822,0.00781
213,-0.04940,-0.13867
214,0.02672,-0.28516
215,-0.02607,-0.43164
216,-0.00848,-0.57812
217,-0.01031,-0.43555
218,-0.01618,-0.29297
219,0.00520,-0.15039
220,0.01094,-0.00781
221,-0.01838,0.13477
222,-0.00079,0.27734
223,-0.04173,0.41992
224,0.00336,0.56250
225,0.01313,0.42383
226,-0.00055,0.28516
227,0.00543,0.14648
228,-0.02768,0.00781
229,-0.01009,-0.13086
230,0.02314,-0.26953
231,-0.00215,-0.40820
232,-0.01584,-0.54688
233,0.01739,-0.41211
234,0.01153,-0.27734
235,-0.02965,-0.14258
236,-0.03552,-0.00781
237,0.07970,0.12695
238,-0.00033,0.26172
239,-0.00241,0.39648
240,0.01518,0.53125
241,0.01310,0.40039
242,0.03070,0.26953
243,0.00137,0.13867
244,0.00332,0.00781
245,-0.02222,-0.12305
246,-0.00841,-0.25391
247,0.02482,-0.38477
248,0.01113,-0.51562
249,0.00124,-0.38867
250,-0.05155,-0.26172
251,0.03642,-0.13477
252,-0.00855,-0.00781
253,-0.04166,0.11914
254,-0.00440,0.24609
255,0.00538,0.37305
