lag,raw,whitened
24,326274496.000000,-0.000405
25,322052480.000000,-0.000151
26,317798912.000000,-0.000336
27,313599872.000000,-0.000406
28,309504640.000000,0.000162
29,305491104.000000,-0.000079
30,301526016.000000,-0.000178
31,297579136.000000,0.000294
32,293641600.000000,-0.000328
33,289731712.000000,-0.000603
34,285889728.000000,-0.000422
35,282178944.000000,-0.000244
36,278644480.000000,-0.000336
37,275299072.000000,-0.000504
38,272144832.000000,-0.000005
39,269128384.000000,0.000584
40,266188992.000000,-0.000353
41,263311616.000000,-0.000183
42,260525264.000000,-0.000005
43,257874880.000000,0.000579
44,255361840.000000,0.000286
45,252947696.000000,-0.000406
46,250576160.000000,0.000146
47,248196672.000000,-0.000072
48,245790976.000000,0.000035
49,243357696.000000,-0.000356
50,240922944.000000,-0.000443
51,238524672.000000,-0.001019
52,236204416.000000,-0.000514
53,234004640.000000,-0.000628
54,231939664.000000,-0.000719
55,229995520.000000,-0.000345
56,228131360.000000,-0.000553
57,226293632.000000,-0.000419
58,224428864.000000,0.000074
59,222515296.000000,0.000223
60,220579728.000000,0.000505
61,218693952.000000,-0.000701
62,216899936.000000,0.000405
63,215201536.000000,-0.000821
64,213583680.000000,-0.000273
65,212006848.000000,-0.000055
66,210415872.000000,0.000641
67,208748800.000000,0.000720
68,206988080.000000,0.001048
69,205151952.000000,-0.000750
70,203286784.000000,0.000198
71,201437984.000000,-0.000009
72,199650560.000000,-0.000531
73,197956992.000000,0.000535
74,196374432.000000,0.000729
75,194907056.000000,-0.000679
76,193542784.000000,0.000335
77,192247872.000000,0.000598
78,190990160.000000,-0.000387
79,189755552.000000,0.000051
80,188536352.000000,0.000729
81,187308224.000000,0.000987
82,186043680.000000,-0.000266
83,184718400.000000,0.000353
84,183311760.000000,0.001692
85,181815424.000000,0.000793
86,180227360.000000,0.001815
87,178566496.000000,0.000181
88,176877568.000000,-0.000579
89,175171328.000000,-0.000941
90,173440384.000000,0.000680
91,171661648.000000,-0.000549
92,169835488.000000,-0.000478
93,167991216.000000,-0.000832
94,166165600.000000,0.000249
95,164372560.000000,0.000620
96,162612384.000000,0.000456
97,160872496.000000,-0.001212
98,159116960.000000,0.000147
99,157326400.000000,-0.000772
100,155515296.000000,-0.001007
101,153696288.000000,0.000391
102,151867040.000000,-0.000676
103,150001856.000000,-0.000244
104,148091616.000000,0.000422
105,146160112.000000,0.000116
106,144249104.000000,-0.000695
107,142394432.000000,-0.000801
108,140586400.000000,-0.000003
109,138773552.000000,-0.000461
110,136905888.000000,0.001233
111,134948896.000000,0.001369
112,132908824.000000,-0.000264
113,130813328.000000,-0.000027
114,128702136.000000,0.001553
115,126630640.000000,0.000309
116,124637976.000000,0.000950
117,122733968.000000,0.001221
118,120898992.000000,-0.000123
119,119079792.000000,0.001257
120,117218840.000000,0.000092
121,115268432.000000,-0.000357
122,113214400.000000,0.000201
123,111073664.000000,0.000652
124,108871192.000000,0.000971
125,106629336.000000,-0.000881
126,104348320.000000,0.000458
127,102009960.000000,-0.001120
128,99606344.000000,0.002218
129,97126608.000000,-0.000722
130,94574784.000000,0.002123
131,91964256.000000,0.000471
132,89338288.000000,0.001587
133,86748224.000000,0.003171
134,84230360.000000,-0.001104
135,81791408.000000,0.002452
136,79424944.000000,0.000697
137,77113824.000000,0.000071
138,74865464.000000,-0.000001
139,72700936.000000,0.000685
140,70637064.000000,0.002154
141,68671744.000000,-0.001102
142,66768172.000000,0.001698
143,64850752.000000,0.001421
144,62862256.000000,0.000746
145,60792744.000000,-0.000009
146,58655544.000000,0.000143
147,56458680.000000,0.001866
148,54200616.000000,-0.000557
149,51877928.000000,-0.000899
150,49472864.000000,0.000992
151,46995240.000000,-0.000840
152,44487480.000000,0.002497
153,41973476.000000,0.003458
154,39476672.000000,0.002204
155,37024608.000000,-0.001001
156,34660896.000000,-0.000881
157,32411856.000000,-0.000926
158,30258602.000000,0.003446
159,28148408.000000,0.002585
160,26036364.000000,0.000146
161,23899876.000000,0.001017
162,21725198.000000,-0.000714
163,19519064.000000,-0.000943
164,17303948.000000,-0.002082
165,15089429.000000,0.000927
166,12864925.000000,0.000497
167,10642027.000000,-0.000408
168,8466180.000000,0.001342
169,6390157.000000,-0.000042
170,4444005.000000,0.000453
171,2634607.000000,0.002679
172,933156.000000,0.001463
173,-699851.000000,-0.000712
174,-2297801.000000,-0.001453
175,-3882499.000000,0.000271
176,-5463131.000000,0.000094
177,-7045561.000000,-0.000579
178,-8656830.000000,0.001503
179,-10343207.000000,0.001733
180,-12115631.000000,0.000681
181,-13943568.000000,0.001303
182,-15773416.000000,0.000500
183,-17554100.000000,0.002032
184,-19255080.000000,0.000953
185,-20858008.000000,-0.000397
186,-22366710.000000,-0.001709
187,-23798216.000000,0.002450
188,-25181862.000000,0.001720
189,-26532112.000000,0.001439
