lag,full_res,half_pyramid
24,0.000552,-0.000007
25,-0.000124,0.000473
26,0.000253,-0.000215
27,0.000225,0.000077
28,0.000083,0.000238
29,-0.000047,0.000261
30,-0.000010,0.000296
31,0.000239,0.000087
32,-0.000283,0.000381
33,0.000023,0.000281
34,-0.000049,-0.000033
35,0.000285,0.000639
36,0.000119,-0.000033
37,0.000142,0.000378
38,0.000046,0.000081
39,0.000151,-0.000201
40,-0.000240,-0.000755
41,0.000676,-0.000295
42,0.000418,0.000275
43,0.000653,0.000288
44,0.000247,0.000513
45,-0.000023,0.000178
46,0.000163,0.001082
47,0.000151,0.000611
48,-0.000012,0.000374
49,-0.000286,-0.000181
50,0.000324,0.000966
51,0.000722,-0.000469
52,0.000163,-0.000570
53,-0.000014,-0.000247
54,0.000391,0.000983
55,0.000260,0.000371
56,0.000801,0.000767
57,0.000269,0.000035
58,0.000365,-0.000707
59,0.000146,0.000228
60,-0.000185,-0.000016
61,0.000799,0.000020
62,-0.000060,0.001109
63,-0.000248,-0.000010
64,0.000537,0.000348
65,0.001148,0.001052
66,0.000440,0.000280
67,-0.000283,0.000893
68,0.000134,0.000922
69,0.000681,0.001252
70,0.000739,0.000284
71,0.000205,0.001152
72,0.000958,0.000259
73,0.000395,0.002465
74,-0.000126,0.001436
75,0.001099,-0.000518
76,0.001557,-0.002737
77,0.000936,0.000113
78,0.000284,-0.000058
79,0.000342,0.000801
80,0.000685,-0.000271
81,-0.001456,0.000457
82,0.000701,0.001153
83,0.001360,0.000288
84,0.000647,0.003208
85,0.000595,-0.000655
86,0.001534,0.001017
87,0.000469,0.001692
88,0.001654,0.001787
89,0.001099,-0.000346
90,0.001016,0.002494
91,0.002461,0.001714
92,0.001278,-0.000285
93,0.000788,0.001228
94,0.000720,0.000182
95,-0.000521,-0.001314
96,0.001488,-0.000395
97,0.002233,-0.000732
98,0.000930,0.001415
99,0.000431,0.000825
100,0.002531,-0.001230
101,0.001502,-0.000505
102,-0.000009,0.000792
103,0.000573,0.002385
104,0.000848,0.002036
105,0.001134,-0.001594
106,0.000194,-0.000455
107,0.000464,0.000318
108,0.001906,0.001112
109,0.002783,0.002359
110,0.001128,0.001271
111,0.000589,0.001695
112,0.000346,0.004799
113,0.000563,0.000243
114,-0.001259,0.000336
115,0.000048,0.001600
116,0.001039,0.002539
117,-0.000050,0.002020
